160,120,57,89
2021-07-16 12:49:40.147987,160,120,126,97
2021-07-16 12:49:40.366845,160,120,126,97
2021-07-16 12:49:40.582227,160,120,126,97
2021-07-16 12:49:40.802594,160,120,126,97
2021-07-16 12:49:41.017798,160,120,136,97
2021-07-16 12:49:41.236240,160,120,136,97
2021-07-16 12:49:41.450827,160,120,126,97
2021-07-16 12:49:41.669122,160,120,126,97
2021-07-16 12:49:41.884324,160,120,117,97
2021-07-16 12:49:42.103866,160,120,117,97
2021-07-16 12:49:42.319043,160,120,117,97
2021-07-16 12:49:42.537203,160,120,107,97
2021-07-16 12:49:42.752393,160,120,107,97
2021-07-16 12:49:42.970933,160,120,107,97
2021-07-16 12:49:43.185867,160,120,117,97
2021-07-16 12:49:43.406114,160,120,117,97
2021-07-16 12:49:43.621177,160,120,117,97
2021-07-16 12:49:43.839685,160,120,126,97
2021-07-16 12:49:44.054666,160,120,126,97
2021-07-16 12:49:44.272975,160,120,126,97
2021-07-16 12:49:44.487751,160,120,136,97
2021-07-16 12:49:44.706910,160,120,126,97
2021-07-16 12:49:44.922197,160,120,126,97
2021-07-16 12:49:45.141170,160,120,126,97
2021-07-16 12:49:45.356227,160,120,126,97
2021-07-16 12:49:45.575195,160,120,117,97
2021-07-16 12:49:45.790071,160,120,117,97
2021-07-16 12:49:46.009800,160,120,117,97
2021-07-16 12:49:46.224439,160,120,117,97
2021-07-16 12:49:46.443213,160,120,117,97
2021-07-16 12:49:46.662805,160,120,117,97
2021-07-16 12:49:46.880222,160,120,117,97
2021-07-16 12:49:47.096293,160,120,126,97
2021-07-16 12:49:47.315053,160,120,126,97
2021-07-16 12:49:47.529858,160,120,136,97
2021-07-16 12:49:47.747982,160,120,136,97
2021-07-16 12:49:47.962928,160,120,136,97
2021-07-16 12:49:48.183523,160,120,136,97
2021-07-16 12:49:48.399172,160,120,126,97
2021-07-16 12:49:48.616425,160,120,126,97
2021-07-16 12:49:48.831186,160,120,126,97
2021-07-16 12:49:49.049283,160,120,117,97
2021-07-16 12:49:49.264121,160,120,117,97
2021-07-16 12:49:49.481732,160,120,117,97
2021-07-16 12:49:49.696895,160,120,117,97
2021-07-16 12:49:49.914545,160,120,117,97
2021-07-16 12:49:50.130197,160,120,117,97
2021-07-16 12:49:50.348123,160,120,117,97
2021-07-16 12:49:50.562989,160,120,126,97
2021-07-16 12:49:50.782391,160,120,126,97
2021-07-16 12:49:50.997800,160,120,126,97
2021-07-16 12:49:51.216528,160,120,126,97
2021-07-16 12:49:51.431481,160,120,126,97
2021-07-16 12:49:51.650165,160,120,126,97
2021-07-16 12:49:51.865562,160,120,126,97
2021-07-16 12:49:52.084680,160,120,117,97
2021-07-16 12:49:52.300682,160,120,117,97
2021-07-16 12:49:52.518802,160,120,117,97
2021-07-16 12:49:52.733754,160,120,117,97
2021-07-16 12:49:52.952201,160,120,117,97
2021-07-16 12:49:53.167735,160,120,117,97
2021-07-16 12:49:53.386284,160,120,117,97
2021-07-16 12:49:53.601193,160,120,117,97
2021-07-16 12:49:53.821299,160,120,126,97
2021-07-16 12:49:54.036135,160,120,126,97
2021-07-16 12:49:54.274668,160,120,126,97
2021-07-16 12:49:54.495261,160,120,126,97
2021-07-16 12:49:54.719400,160,120,126,97
2021-07-16 12:49:54.938033,160,120,117,97
2021-07-16 12:49:55.162946,160,120,117,97
2021-07-16 12:49:55.382808,160,120,117,97
2021-07-16 12:49:55.601199,160,120,117,97
2021-07-16 12:49:55.830916,160,120,107,97
2021-07-16 12:49:56.049272,160,120,107,107
2021-07-16 12:49:56.264288,160,120,107,97
2021-07-16 12:49:56.483035,160,120,117,97
2021-07-16 12:49:56.711787,160,120,117,97
2021-07-16 12:49:56.928447,160,120,126,97
2021-07-16 12:49:57.151190,160,120,126,97
2021-07-16 12:49:57.367257,160,120,126,97
2021-07-16 12:49:57.585371,160,120,126,97
2021-07-16 12:49:57.802240,160,120,117,97
2021-07-16 12:49:58.025780,160,120,117,97
2021-07-16 12:50:05.988842,160,120,126,97
2021-07-16 12:50:06.230707,160,120,126,97
2021-07-16 12:50:06.547031,160,120,126,97
2021-07-16 12:50:06.866778,160,120,126,97
2021-07-16 12:50:07.351871,160,120,126,97
2021-07-16 12:50:08.386592,160,120,233,193
